code,value,id,name_y,POINT_X,POINT_Y,2019,2020,2023,2020_change_rate,2023_change_rate,change
350600,5049756.0,119,漳州市,117.4425084,24.36671548,0.476634731,0.527069123,0.488779556,0.0504343919999999,-0.0382895669999999,u-s
350700,2771123.0,120,南平市,118.1421265,27.33901888,0.499183883,0.300632628,0.569051869,-0.1985512549999999,0.268419241,d-u
350800,2687829.0,121,龙岩市,116.7386918,25.29283904,0.657437299,0.541256062,0.575946753,-0.116181237,0.0346906909999999,d-s
350900,2947019.0,122,宁德市,119.46765,26.97738515,0.516706575,0.551613548,0.640986782,0.034906973,0.089373234,s-u
360100,5287609.0,123,南昌市,116.0190358,28.64931419,0.473875458,0.536033075,0.467969694,0.0621576169999999,-0.0680633809999999,u-d
360200,1664337.0,124,景德镇市,117.2699585,29.30727815,0.340783805,0.121185491,0.2527276,-0.219598314,0.131542109,d-u
360300,1937344.0,125,萍乡市,113.9025314,27.51162446,0.551452057,0.475863175,0.305034711,-0.0755888819999999,-0.170828464,d-d
360400,4962240.0,126,九江市,115.452666,29.32176584,0.49431604,0.349363457,0.462743153,-0.144952583,0.113379696,d-u
360500,1190917.0,127,新余市,114.8525657,27.84520193,0.487933702,0.40441442,0.347666054,-0.083519282,-0.0567483659999999,d-d
360600,1180087.0,128,鹰潭市,117.1086256,28.22397615,0.42152803,0.318375198,0.2526189,-0.1031528319999999,-0.065756298,d-d
360700,8773165.0,129,赣州市,115.272968,25.70884414,0.486801338,0.291947741,0.503254417,-0.194853597,0.2113066759999999,d-u
360800,5043192.0,130,吉安市,114.8246945,26.9736376,0.63352751,0.437588464,0.332390472,-0.1959390459999999,-0.105197992,d-d
360900,5683278.0,131,宜春市,115.0191655,28.54798759,0.481596763,0.465044491,0.396189916,-0.0165522719999999,-0.068854575,s-d
361000,4101755.0,132,抚州市,116.4343458,27.51000329,0.465960143,0.485178915,0.337566673,0.0192187719999999,-0.147612242,s-d
361100,6902588.0,133,上饶市,117.9175469,28.76331198,0.630194398,0.541360192,0.512835482,-0.088834206,-0.02852471,d-s
370100,8506318.0,134,济南市,117.214758,36.63710369,0.536672354,0.65168358,0.561951425,0.115011226,-0.089732155,u-d
370200,9119336.0,135,青岛市,120.1423736,36.45381324,0.56106454,0.620408048,0.542079359,0.0593435080000001,-0.078328689,u-d
370300,4736182.0,136,淄博市,118.0533005,36.60772751,0.488068463,0.543787364,0.505906762,0.055718901,-0.037880602,u-s
370400,3917607.0,137,枣庄市,117.3932935,34.91596425,0.53829358,0.438170434,0.427867094,-0.100123146,-0.0103033399999999,d-s
370500,2125215.0,138,东营市,118.6015388,37.62220247,0.545150327,0.557429605,0.596418119,0.012279278,0.0389885139999999,s-s
370600,7298017.0,139,烟台市,120.8002433,37.23709901,0.564412877,0.593018097,0.576918579,0.0286052199999999,-0.0160995179999999,s-s
370700,9559272.0,140,潍坊市,119.0711012,36.54564827,0.611741218,0.680966358,0.58949841,0.06922514,-0.091467948,u-d
